Gender,AgeRange,FavoriteColor,Season,Occasion,ClothingType,RecommendedColor
Male,56-65,Cyan,Autumn,Party,Skirt,Gray
Female,16-25,Maroon,Spring,Dinner,Shirt,White
Male,36-45,Brown,Spring,Business,Skirt,Brown
Female,16-25,Orange,Spring,Formal,T-shirt,Blue
Female,46-55,Yellow,Autumn,Festival,Jacket,Purple
Female,36-45,Gray,Spring,Party,T-shirt,White
Male,16-25,Pink,Summer,Formal,Jeans,White
Female,16-25,Lime,Autumn,Formal,Shirt,Purple
Female,16-25,Orange,Winter,Outdoor,Skirt,White
Male,16-25,Gray,Winter,Formal,T-shirt,Black
Male,36-45,Teal,Summer,Sport,Skirt,White
Female,46-55,Orange,Autumn,Festival,Dress,White
Female,56-65,Magenta,Winter,Wedding,Jacket,cyan
Male,16-25,Maroon,Summer,Travel,T-shirt,White
Male,16-25,Cyan,Summer,Festival,Skirt,White
Female,16-25,Lime,Autumn,Wedding,Trousers,Purple
Female,56-65,Teal,Autumn,Outdoor,Shirt,White
Male,56-65,Lime,Summer,Travel,Skirt,Black
Male,46-55,Violet,Autumn,Festival,T-shirt,Yellow
Male,56-65,Black,Spring,Casual,Shirt,Gray
Male,56-65,Brown,Winter,Party,Trousers,White
Male,46-55,Orange,Autumn,Travel,Shirt,White
Male,36-45,Teal,Spring,Business,Shirt,Lime
Male,26-35,Maroon,Spring,Sport,Shirt,Maroon
Female,16-25,Red,Spring,Wedding,Shirt,Green
Male,16-25,Red,Autumn,Sport,T-shirt,Black
Male,56-65,Orange,Summer,Formal,Dress,White
Male,46-55,Cyan,Winter,Gala,Skirt,Cyan
Male,36-45,Maroon,Summer,Business,Jacket,Maroon
Male,46-55,White,Autumn,Party,T-shirt,Blue
Female,56-65,Teal,Summer,Wedding,Shirt,White
Female,46-55,Yellow,Winter,Business,T-shirt,Gray
Male,16-25,Orange,Spring,Party,Skirt,Blue
Female,46-55,Pink,Summer,Dinner,Shirt,Gray
Female,16-25,Black,Winter,Wedding,Shirt,White
Female,36-45,Yellow,Winter,Festival,Shirt,Gray
Female,46-55,Orange,Autumn,Casual,Trousers,Blue
Male,46-55,Pink,Winter,Outdoor,Dress,White
Male,26-35,Black,Summer,Formal,Jacket,Red
Male,56-65,Violet,Winter,Holiday,Shirt,White
Male,56-65,Purple,Spring,Sport,Dress,White
Male,26-35,Green,Autumn,Beach,Trousers,Violet
Female,56-65,White,Summer,Business,Trousers,Green
Male,56-65,Magenta,Winter,Gala,T-shirt,White
Male,26-35,Cyan,Winter,Gala,Jeans,White
Male,26-35,Black,Winter,Wedding,Jeans,White
Female,46-55,White,Summer,Cocktail,Shirt,Magenta
Male,46-55,Violet,Spring,Festival,Skirt,White
Female,36-45,Indigo,Winter,Formal,Jeans,Pink
Female,36-45,Green,Autumn,Business,T-shirt,Lime
Male,46-55,Lime,Autumn,Beach,Skirt,Purple
Male,36-45,Red,Spring,Business,T-shirt,Black
Female,26-35,Magenta,Spring,Casual,Shirt,White
Male,46-55,Green,Winter,Formal,T-shirt,Violet
Female,36-45,Magenta,Spring,Travel,Jacket,Cyan
Male,16-25,Lime,Winter,Business,Jeans,Purple
Male,26-35,Cyan,Winter,Outdoor,Trousers,White
Male,26-35,Blue,Autumn,Travel,Jeans,Green
Female,46-55,Green,Winter,Festival,Skirt,Yellow
Male,16-25,Purple,Summer,Gala,Skirt,Gray
Female,46-55,Teal,Summer,Outdoor,Jeans,White
Female,56-65,Green,Autumn,Casual,T-shirt,Magenta
Male,36-45,Indigo,Winter,Holiday,Trousers,Yellow
Female,36-45,Gray,Summer,Business,Trousers,Black
Male,56-65,Maroon,Autumn,Formal,Trousers,Green
Male,56-65,Orange,Winter,Gala,T-shirt,White
Female,46-55,Lime,Autumn,Travel,Dress,Teal
Male,46-55,Cyan,Winter,Festival,Skirt,White
Male,16-25,Indigo,Spring,Party,T-shirt,Brown
Female,36-45,Cyan,Spring,Cocktail,Jacket,Gray
Male,56-65,Pink,Summer,Party,Skirt,Purple
Male,36-45,Teal,Winter,Beach,Skirt,Violet
Male,56-65,Gray,Winter,Outdoor,Dress,Cyan
Female,16-25,Blue,Autumn,Cocktail,Shirt,Lime
Male,56-65,Cyan,Summer,Wedding,Jacket,Gray
Female,46-55,Pink,Winter,Sport,Shirt,Red
Male,16-25,Magenta,Summer,Formal,Jacket,Cyan
Female,56-65,Brown,Autumn,Gala,Jacket,Cyan
Female,26-35,Indigo,Winter,Business,Shirt,Pink
Female,16-25,Magenta,Spring,Travel,Jeans,Cyan
Female,56-65,Brown,Spring,Gala,T-shirt,Green
Female,36-45,Gray,Spring,Travel,Shirt,Black
Male,46-55,Teal,Autumn,Cocktail,Skirt,Maroon
Female,16-25,Green,Autumn,Wedding,Shirt,Black
Female,16-25,Teal,Winter,Beach,Jeans,Brown
Male,16-25,Blue,Winter,Travel,Shirt,Gray
Male,46-55,Cyan,Autumn,Dinner,Skirt,Red
Male,56-65,Red,Autumn,Business,Jeans,Indigo
Female,56-65,Indigo,Summer,Beach,Trousers,Violet
Male,56-65,Black,Winter,Outdoor,Shirt,Red
Female,36-45,Cyan,Autumn,Beach,Jacket,Red
Male,36-45,Teal,Summer,Party,Dress,Teal
Female,46-55,Teal,Autumn,Casual,Jeans,Brown
Female,36-45,Maroon,Winter,Gala,T-shirt,Green
Female,46-55,Orange,Spring,Outdoor,T-shirt,White
Male,46-55,Blue,Winter,Gala,Skirt,Pink
Male,56-65,Lime,Winter,Wedding,Shirt,Black
Female,46-55,Purple,Spring,Casual,T-shirt,Magenta
Female,46-55,Green,Spring,Sport,Shirt,Orange
Male,56-65,Blue,Summer,Outdoor,T-shirt,Green
Male,56-65,Cyan,Autumn,Party,Skirt,Gray
Female,16-25,Maroon,Spring,Dinner,Shirt,White
Male,36-45,Brown,Spring,Business,Skirt,Brown
Female,16-25,Orange,Spring,Formal,T-shirt,Blue
Female,46-55,Yellow,Autumn,Festival,Jacket,Purple
Female,36-45,Gray,Spring,Party,T-shirt,White
Male,16-25,Pink,Summer,Formal,Jeans,White
Female,16-25,Lime,Autumn,Formal,Shirt,Purple
Female,16-25,Orange,Winter,Outdoor,Skirt,White
Male,16-25,Gray,Winter,Formal,T-shirt,Black
Male,36-45,Teal,Summer,Sport,Skirt,White
Female,46-55,Orange,Autumn,Festival,Dress,White
Female,56-65,Magenta,Winter,Wedding,Jacket,cyan
Male,16-25,Maroon,Summer,Travel,T-shirt,White
Male,16-25,Cyan,Summer,Festival,Skirt,White
Female,16-25,Lime,Autumn,Wedding,Trousers,Purple
Female,56-65,Teal,Autumn,Outdoor,Shirt,White
Male,56-65,Lime,Summer,Travel,Skirt,Black
Male,46-55,Violet,Autumn,Festival,T-shirt,Yellow
Male,56-65,Black,Spring,Casual,Shirt,Gray
Male,56-65,Brown,Winter,Party,Trousers,White
Male,46-55,Orange,Autumn,Travel,Shirt,White
Male,36-45,Teal,Spring,Business,Shirt,Lime
Male,26-35,Maroon,Spring,Sport,Shirt,Maroon
Female,16-25,Red,Spring,Wedding,Shirt,Green
Male,16-25,Red,Autumn,Sport,T-shirt,Black
Male,56-65,Orange,Summer,Formal,Dress,White
Male,46-55,Cyan,Winter,Gala,Skirt,Cyan
Male,36-45,Maroon,Summer,Business,Jacket,Maroon
Male,46-55,White,Autumn,Party,T-shirt,Blue
Female,56-65,Teal,Summer,Wedding,Shirt,White
Female,46-55,Yellow,Winter,Business,T-shirt,Gray
Male,16-25,Orange,Spring,Party,Skirt,Blue
Female,46-55,Pink,Summer,Dinner,Shirt,Gray
Female,16-25,Black,Winter,Wedding,Shirt,White
Female,36-45,Yellow,Winter,Festival,Shirt,Gray
Female,46-55,Orange,Autumn,Casual,Trousers,Blue
Male,46-55,Pink,Winter,Outdoor,Dress,White
Male,26-35,Black,Summer,Formal,Jacket,Red
Male,56-65,Violet,Winter,Holiday,Shirt,White
Male,56-65,Purple,Spring,Sport,Dress,White
Male,26-35,Green,Autumn,Beach,Trousers,Violet
Female,56-65,White,Summer,Business,Trousers,Green
Male,56-65,Magenta,Winter,Gala,T-shirt,White
Male,26-35,Cyan,Winter,Gala,Jeans,White
Male,26-35,Black,Winter,Wedding,Jeans,White
Female,46-55,White,Summer,Cocktail,Shirt,Magenta
Male,46-55,Violet,Spring,Festival,Skirt,White
Female,36-45,Indigo,Winter,Formal,Jeans,Pink
Female,36-45,Green,Autumn,Business,T-shirt,Lime
Male,46-55,Lime,Autumn,Beach,Skirt,Purple
Male,36-45,Red,Spring,Business,T-shirt,Black
Female,26-35,Magenta,Spring,Casual,Shirt,White
Male,46-55,Green,Winter,Formal,T-shirt,Violet
Female,36-45,Magenta,Spring,Travel,Jacket,Cyan
Male,16-25,Lime,Winter,Business,Jeans,Purple
Male,26-35,Cyan,Winter,Outdoor,Trousers,White
Male,26-35,Blue,Autumn,Travel,Jeans,Green
Female,46-55,Green,Winter,Festival,Skirt,Yellow
Male,16-25,Purple,Summer,Gala,Skirt,Gray
Female,46-55,Teal,Summer,Outdoor,Jeans,White
Female,56-65,Green,Autumn,Casual,T-shirt,Magenta
Male,36-45,Indigo,Winter,Holiday,Trousers,Yellow
Female,36-45,Gray,Summer,Business,Trousers,Black
Male,56-65,Maroon,Autumn,Formal,Trousers,Green
Male,56-65,Orange,Winter,Gala,T-shirt,White
Female,46-55,Lime,Autumn,Travel,Dress,Teal
Male,46-55,Cyan,Winter,Festival,Skirt,White
Male,16-25,Indigo,Spring,Party,T-shirt,Brown
Female,36-45,Cyan,Spring,Cocktail,Jacket,Gray
Male,56-65,Pink,Summer,Party,Skirt,Purple
Male,36-45,Teal,Winter,Beach,Skirt,Violet
Male,56-65,Gray,Winter,Outdoor,Dress,Cyan
Female,16-25,Blue,Autumn,Cocktail,Shirt,Lime
Male,56-65,Cyan,Summer,Wedding,Jacket,Gray
Female,46-55,Pink,Winter,Sport,Shirt,Red
Male,16-25,Magenta,Summer,Formal,Jacket,Cyan
Female,56-65,Brown,Autumn,Gala,Jacket,Cyan
Female,26-35,Indigo,Winter,Business,Shirt,Pink
Female,16-25,Magenta,Spring,Travel,Jeans,Cyan
Female,56-65,Brown,Spring,Gala,T-shirt,Green
Female,36-45,Gray,Spring,Travel,Shirt,Black
Male,46-55,Teal,Autumn,Cocktail,Skirt,Maroon
Female,16-25,Green,Autumn,Wedding,Shirt,Black
Female,16-25,Teal,Winter,Beach,Jeans,Brown
Male,16-25,Blue,Winter,Travel,Shirt,Gray
Male,46-55,Cyan,Autumn,Dinner,Skirt,Red
Male,56-65,Red,Autumn,Business,Jeans,Indigo
Female,56-65,Indigo,Summer,Beach,Trousers,Violet
Male,56-65,Black,Winter,Outdoor,Shirt,Red
Female,36-45,Cyan,Autumn,Beach,Jacket,Red
Male,36-45,Teal,Summer,Party,Dress,Teal
Female,46-55,Teal,Autumn,Casual,Jeans,Brown
Female,36-45,Maroon,Winter,Gala,T-shirt,Green
Female,46-55,Orange,Spring,Outdoor,T-shirt,White
Male,46-55,Blue,Winter,Gala,Skirt,Pink
Male,56-65,Lime,Winter,Wedding,Shirt,Black
Female,46-55,Purple,Spring,Casual,T-shirt,Magenta
Female,46-55,Green,Spring,Sport,Shirt,Orange
Male,56-65,Blue,Summer,Outdoor,T-shirt,Green
